date,2330,2412,1216,2881,2884,SPY,TLT,GLD
2019-12-16,336.0000,110.5000,72.3000,46.6000,27.6000,8736.2340,3398.5268,4201.7885
2019-12-17,345.0000,110.5000,72.6000,46.5000,27.7500,8702.5795,3380.0282,4183.7838
2019-12-18,344.5000,110.5000,73.5000,46.7500,27.8500,8680.2797,3343.4698,4173.1024
2019-12-19,335.0000,110.0000,73.5000,46.7500,27.7500,8720.7962,3350.7176,4186.2784
2019-12-20,329.0000,111.0000,74.1000,46.7500,27.7500,8792.2767,3367.8721,4206.3886
2019-12-23,334.0000,111.5000,74.9000,46.6500,27.9000,8798.7000,3360.2634,4215.9937
2019-12-24,332.0000,110.5000,74.6000,46.5000,27.9000,8803.0622,3371.4343,4257.7367
2019-12-26,333.0000,111.0000,74.6000,46.5000,27.8500,8779.7433,3352.7656,4257.1621
2019-12-27,338.0000,111.5000,74.6000,46.7500,27.9500,8829.2354,3376.1894,4280.7172
2019-12-30,334.5000,111.0000,74.6000,46.7000,28.0000,8782.5992,3364.6805,4290.7385
2019-12-31,331.0000,110.0000,74.2000,46.4000,27.9000,8801.3035,3330.7294,4297.5743
2020-01-02,339.0000,109.5000,74.2000,46.4500,27.9500,8815.6742,3342.5838,4296.0437
2020-01-03,339.5000,110.5000,74.8000,46.7500,28.0000,8765.3325,3400.4290,4361.2140
2020-01-06,332.0000,110.0000,73.9000,46.4000,27.8000,8838.4999,3396.3837,4426.8586
2020-01-07,329.5000,109.5000,73.4000,46.3000,27.8000,8817.1708,3381.0407,4446.0548
2020-01-08,329.5000,109.0000,72.6000,45.8000,27.7000,8845.8735,3351.7567,4403.5972
2020-01-09,337.5000,109.5000,73.4000,46.0000,27.9000,8913.2787,3366.3261,4382.3603
2020-01-10,339.5000,109.5000,74.0000,46.4000,28.1000,8867.7858,3388.6738,4398.9264
2020-01-13,341.5000,110.0000,74.6000,46.8000,28.5500,8934.4365,3380.5366,4369.0590
2020-01-14,346.0000,109.5000,74.4000,47.0000,28.6500,8894.6163,3387.9474,4352.3432
